exemplul 1: clasa reala = 1, clasa prezisa = 1
exemplul 2: clasa reala = 2, clasa prezisa = 1
exemplul 3: clasa reala = 1, clasa prezisa = 1
exemplul 4: clasa reala = 2, clasa prezisa = 1
exemplul 5: clasa reala = 1, clasa prezisa = 1
exemplul 6: clasa reala = 2, clasa prezisa = 1
exemplul 7: clasa reala = 0, clasa prezisa = 1
exemplul 8: clasa reala = 1, clasa prezisa = 1
exemplul 9: clasa reala = 1, clasa prezisa = 1
exemplul 10: clasa reala = 1, clasa prezisa = 1
exemplul 11: clasa reala = 2, clasa prezisa = 1
exemplul 12: clasa reala = 1, clasa prezisa = 1
exemplul 13: clasa reala = 0, clasa prezisa = 0
exemplul 14: clasa reala = 2, clasa prezisa = 1
exemplul 15: clasa reala = 1, clasa prezisa = 1
exemplul 16: clasa reala = 2, clasa prezisa = 1
exemplul 17: clasa reala = 0, clasa prezisa = 0
exemplul 18: clasa reala = 1, clasa prezisa = 1
exemplul 19: clasa reala = 1, clasa prezisa = 1
exemplul 20: clasa reala = 2, clasa prezisa = 0
exemplul 21: clasa reala = 2, clasa prezisa = 1
exemplul 22: clasa reala = 2, clasa prezisa = 1
exemplul 23: clasa reala = 1, clasa prezisa = 1
exemplul 24: clasa reala = 0, clasa prezisa = 0
exemplul 25: clasa reala = 1, clasa prezisa = 1
exemplul 26: clasa reala = 0, clasa prezisa = 0
exemplul 27: clasa reala = 2, clasa prezisa = 1
exemplul 28: clasa reala = 0, clasa prezisa = 0
exemplul 29: clasa reala = 0, clasa prezisa = 0
exemplul 30: clasa reala = 1, clasa prezisa = 1
exemplul 31: clasa reala = 1, clasa prezisa = 1
exemplul 32: clasa reala = 1, clasa prezisa = 1
exemplul 33: clasa reala = 0, clasa prezisa = 1
exemplul 34: clasa reala = 0, clasa prezisa = 0
exemplul 35: clasa reala = 1, clasa prezisa = 1
exemplul 36: clasa reala = 2, clasa prezisa = 1
exemplul 37: clasa reala = 1, clasa prezisa = 1
exemplul 38: clasa reala = 1, clasa prezisa = 1
exemplul 39: clasa reala = 1, clasa prezisa = 1
exemplul 40: clasa reala = 2, clasa prezisa = 1
exemplul 41: clasa reala = 1, clasa prezisa = 1
exemplul 42: clasa reala = 0, clasa prezisa = 0
